"","game","platform","publisher","NA_Sales","Total_Sales","Release_Date","PAL_Sales","JP_Sales","Other_Sales"
"1","Joe Montana Football    ","GG","Sega  ","N/A","N/A","15th Aug 91  ","N/A","N/A","N/A"
"2","Joe Montana Football    ","GEN","Sega  ","N/A","N/A","01st Jan 90  ","N/A","N/A","N/A"
"3","Joe Montana Football    ","MS","Sega  ","N/A","N/A","01st Jan 90  ","N/A","N/A","N/A"
"4","Joe Montana Football    ","PC","Sega  ","N/A","N/A","01st Jan 90  ","N/A","N/A","N/A"
"5","Joe Montana II: Sports Talk Football    ","GEN","Sega  ","N/A","N/A","01st Jan 91  ","N/A","N/A","N/A"
"6","Joe Montana's NFL Football    ","SCD","Sega  ","N/A","N/A","01st Jan 93  ","N/A","N/A","N/A"
"7","John Elway's Quarterback    ","NES","Tradewest  ","N/A","N/A","01st Mar 89  ","N/A","N/A","N/A"
"8","John Madden Football    ","SNES","Electronic Arts  ","N/A","0.07m","01st Nov 91  ","N/A","0.07m","0.00m"
"9","John Madden Football    ","3DO","EA Sports  ","N/A","N/A","01st Jan 94  ","N/A","N/A","N/A"
"10","John Madden Football    ","GEN","Electronic Arts  ","N/A","N/A","01st Jan 90  ","N/A","N/A","N/A"
"11","John Madden Football '92    ","GEN","Electronic Arts  ","N/A","N/A","01st Jan 91  ","N/A","N/A","N/A"
"12","John Madden Football '93    ","SNES","Electronic Arts  ","N/A","N/A","01st Jan 93  ","N/A","N/A","N/A"
"13","John Madden Football '93     ","GEN","Electronic Arts  ","N/A","N/A","01st Jan 92  ","N/A","N/A","N/A"
"14","John Romero's Daikatana    ","PC","Eidos Interactive  ","N/A","0.00m","14th Apr 00  ","0.00m","N/A","N/A"
"15","John Romero's Daikatana    ","N64","Kemco  ","N/A","N/A","31st Jul 00  ","N/A","N/A","N/A"
"16","John Romero's Daikatana    ","GB","Kemco  ","N/A","N/A","30th Jun 00  ","N/A","N/A","N/A"
"17","John Tiller's Battleground Civil War     ","PC","Matrix Games   ","N/A","N/A","09th Nov 07  ","N/A","N/A","N/A"
"18","John Tiller's Battleground Napoleonic Wars    ","PC","Matrix Games   ","N/A","N/A","09th Nov 07  ","N/A","N/A","N/A"
"19","Johnny Bazookatone    ","SAT","U.S. Gold  ","N/A","N/A","01st Jan 96  ","N/A","N/A","N/A"
"20","Johnny Bazookatone    ","3DO","U.S. Gold  ","N/A","N/A","01st Jan 95  ","N/A","N/A","N/A"
"21","Johnny Bravo in The Hukka-Mega-Mighty-Ultra-Extreme Date-O-Rama     ","PS2","Blast! Entertainment Ltd  ","N/A","N/A","01st Nov 07  ","N/A","N/A","N/A"
"22","Johnny Hotshot    ","3DS","UFO Interactive  ","N/A","N/A","08th Nov 12  ","N/A","N/A","N/A"
"23","Johnny Impossible    ","3DS","UFO Interactive  ","N/A","N/A","27th Dec 12  ","N/A","N/A","N/A"
"24","Johnny Kung Fu    ","3DS","UFO Interactive  ","N/A","N/A","12th Jul 12  ","N/A","N/A","N/A"
"25","Johnny no Dasshutsu Daisakusen    ","DS","Success  ","N/A","0.00m","28th Aug 08  ","N/A","0.00m","N/A"
"26","Johnny Platform Saves Christmas    ","XBL","Unknown  ","N/A","N/A","N/A  ","N/A","N/A","N/A"
"27","Johnny Platform Saves Xmas!    ","XBL","Microsoft  ","N/A","N/A","08th Dec 09  ","N/A","N/A","N/A"
"28","Johnny Platform's Biscuit Romp    ","XBL","Microsoft  ","N/A","N/A","26th Dec 08  ","N/A","N/A","N/A"
"29","Johnny Whatever    ","GIZ","Unknown  ","N/A","N/A","N/A  ","N/A","N/A","N/A"
"30","Johnny's Minefield    ","XBL","Microsoft  ","N/A","N/A","17th Aug 09  ","N/A","N/A","N/A"
"31","Johnny's Skydiving Lessons    ","XBL","Microsoft  ","N/A","N/A","17th Sep 09  ","N/A","N/A","N/A"
"32","Joining Hands    ","OSX","10tons Ltd  ","N/A","N/A","09th Jan 12  ","N/A","N/A","N/A"
"33","Joining Hands    ","And","10tons Ltd  ","N/A","N/A","06th Nov 11  ","N/A","N/A","N/A"
"34","Joining Hands    ","PC","10tons Ltd  ","N/A","N/A","23rd Aug 12  ","N/A","N/A","N/A"
"35","Joining Hands    ","WinP","10tons Ltd  ","N/A","N/A","22nd Jan 13  ","N/A","N/A","N/A"
"36","Joining Hands 2    ","OSX","10tons Ltd  ","N/A","N/A","06th Sep 13  ","N/A","N/A","N/A"
"37","Joining Hands 2    ","And","10tons Ltd  ","N/A","N/A","06th Sep 13  ","N/A","N/A","N/A"
"38","Joining Hands 2    ","WinP","10tons Ltd  ","N/A","N/A","09th Sep 13  ","N/A","N/A","N/A"
