"","publisher","total_sales","na_sales","user_score","meta_score","number_of_games"
"1","Nintendo",1915460000,859150000,7.86772727272727,77.3954545454545,1410
"2","Activision",727710000,428300000,6.80404858299595,70.9635627530364,1567
"3","Electronic Arts",659150000,329130000,6.94391891891892,73.8192567567568,1591
"4","Sony Computer Entertainment",557090000,239880000,7.54783950617284,74.9845679012346,1365
"5","Ubisoft",500080000,260830000,7.00683012259194,70.7302977232925,1646
"6","EA Sports",497620000,276250000,6.72665036674817,79.1075794621027,800
"7","THQ",339470000,208390000,7.26092715231788,69.0794701986755,1092
"8","Sega",291080000,119560000,7.35538116591928,72.2959641255605,2191
"9","Capcom",274690000,104710000,7.58064516129032,74.7507331378299,1062
"10","Rockstar Games",263430000,125600000,7.75555555555556,82.9506172839506,175
